1  29.5495	2.255678e+00	1.171140e-01	7.169501e-01	7.956370e-01	2.729769e-01	7.169501e+01	
3  14.6258	2.271640e+00	1.168004e-01	7.309658e-01	7.815235e-01	2.623208e-01	7.309658e+01	
1  14.053	2.308258e+00	1.194195e-01	7.364838e-01	7.942819e-01	2.639086e-01	7.364838e+01	
1  14.8471	2.310344e+00	1.178796e-01	7.346967e-01	7.847471e-01	2.623798e-01	7.346967e+01	
3  14.6484	2.306872e+00	1.177927e-01	7.345858e-01	7.843362e-01	2.622337e-01	7.345858e+01	
4  13.9738	2.313810e+00	1.196728e-01	7.374742e-01	7.950492e-01	2.637681e-01	7.374742e+01	
1  14.1192	2.293867e+00	1.190837e-01	7.346019e-01	7.939755e-01	2.643735e-01	7.346019e+01	
1  13.4958	2.284450e+00	1.184801e-01	7.345726e-01	7.900676e-01	2.631014e-01	7.345726e+01	
1  13.1418	2.267536e+00	1.129063e-01	7.330884e-01	7.520756e-01	2.534818e-01	7.330884e+01	
4  12.5916	2.248966e+00	1.140509e-01	7.334846e-01	7.606172e-01	2.549902e-01	7.334846e+01	
2  12.206	2.241746e+00	1.148195e-01	7.389614e-01	7.619670e-01	2.524998e-01	7.389614e+01	
1  12.069	2.260576e+00	1.145794e-01	7.409191e-01	7.580332e-01	2.510730e-01	7.409191e+01	
1  12.1835	2.295799e+00	1.144000e-01	7.394932e-01	7.566346e-01	2.523582e-01	7.394932e+01	
2  12.4622	2.288346e+00	1.125571e-01	7.381498e-01	7.448360e-01	2.497585e-01	7.381498e+01	
1  14.5102	2.259250e+00	1.167027e-01	7.302718e-01	7.818458e-01	2.624043e-01	7.302718e+01	
10  12.2828	2.244378e+00	1.175939e-01	7.413056e-01	7.797149e-01	2.560021e-01	7.413056e+01	
5  13.3315	2.206698e+00	1.157773e-01	7.343457e-01	7.738166e-01	2.568102e-01	7.343457e+01	
1  12.6454	2.238403e+00	1.176740e-01	7.339021e-01	7.865595e-01	2.612308e-01	7.339021e+01	
1  16.3939	2.239378e+00	1.137703e-01	7.472729e-01	7.479996e-01	2.449931e-01	7.472729e+01	
1  15.8066	2.230698e+00	1.115513e-01	7.439672e-01	7.350977e-01	2.430090e-01	7.439672e+01	
1  13.0072	2.226956e+00	1.122433e-01	7.367579e-01	7.458450e-01	2.489940e-01	7.367579e+01	
2  12.5915	2.233356e+00	1.140398e-01	7.385992e-01	7.569867e-01	2.511645e-01	7.385992e+01	
1  13.9786	2.239891e+00	1.178006e-01	7.306864e-01	7.900647e-01	2.638002e-01	7.306864e+01	
1  13.1969	2.225122e+00	1.153871e-01	7.403565e-01	7.654964e-01	2.522814e-01	7.403565e+01	
1  13.1143	2.220446e+00	1.195228e-01	7.393782e-01	7.958690e-01	2.604291e-01	7.393782e+01	
4  12.174	2.241854e+00	1.191997e-01	7.395270e-01	7.926663e-01	2.601249e-01	7.395270e+01	
1  12.0276	2.281479e+00	1.168341e-01	7.439293e-01	7.708823e-01	2.534970e-01	7.439293e+01	
1  13.1392	2.323937e+00	1.166325e-01	7.401375e-01	7.709633e-01	2.565081e-01	7.401375e+01	
3  13.4886	2.327157e+00	1.139083e-01	7.400597e-01	7.515866e-01	2.516468e-01	7.400597e+01	
1  14.6249	2.349126e+00	1.167131e-01	7.408351e-01	7.700704e-01	2.566310e-01	7.408351e+01	
1  12.2571	2.309930e+00	1.170820e-01	7.414138e-01	7.736136e-01	2.561886e-01	7.414138e+01	
1  12.9999	2.305492e+00	1.136005e-01	7.453164e-01	7.460087e-01	2.471655e-01	7.453164e+01	
