1  3357.6	2.243841e+00	1.199628e-01	1.041588e+00	3.040152e+00	9.576197e-01	3.961531e-02	-1.920000e+01	1.000610e+00	6.102005e+00	6.847169e-01	2.478688e-01	6.736611e+01	2.090843e+00	8.265535e-01	3.152033e-01	
1  3043.2	2.246867e+00	1.183067e-01	1.041861e+00	3.033658e+00	9.500920e-01	3.820085e-02	-1.920000e+01	1.000610e+00	5.918106e+00	6.947431e-01	2.478817e-01	6.807341e+01	2.077309e+00	8.029088e-01	3.051787e-01	
2  2916.29	2.251954e+00	1.180981e-01	1.041744e+00	3.024385e+00	9.480536e-01	4.607640e-02	-1.920000e+01	1.000610e+00	6.772324e+00	6.958085e-01	2.479033e-01	6.815450e+01	2.058133e+00	7.961610e-01	3.041135e-01	
8  2575.4	2.278803e+00	1.165920e-01	1.042016e+00	3.030054e+00	9.487638e-01	4.795481e-02	-1.920000e+01	1.000610e+00	6.897964e+00	7.060959e-01	2.480165e-01	6.903269e+01	2.069836e+00	7.789526e-01	2.938281e-01	
15  1268.63	2.278803e+00	1.165920e-01	1.042016e+00	3.030054e+00	9.487638e-01	4.795481e-02	-1.938331e+01	1.000610e+00	6.897964e+00	7.060959e-01	2.480165e-01	6.903269e+01	2.069836e+00	7.789526e-01	2.938281e-01	
40  1266.01	2.278803e+00	1.165920e-01	1.042016e+00	3.030054e+00	9.487638e-01	4.795481e-02	-1.939933e+01	1.000610e+00	6.897964e+00	7.060959e-01	2.480165e-01	6.903269e+01	2.069836e+00	7.789526e-01	2.938281e-01	
2  1265.95	2.278803e+00	1.165920e-01	1.042016e+00	3.030054e+00	9.487638e-01	4.795481e-02	-1.939933e+01	1.000849e+00	6.897964e+00	7.060959e-01	2.480165e-01	6.903269e+01	2.069836e+00	7.789526e-01	2.938281e-01	
3  1256.38	2.282258e+00	1.168277e-01	1.042031e+00	3.043101e+00	9.569095e-01	5.879046e-02	-1.939933e+01	1.000849e+00	7.985916e+00	7.051029e-01	2.480310e-01	6.898283e+01	2.097018e+00	7.885093e-01	2.948210e-01	
15  1244.48	2.295364e+00	1.169906e-01	1.042591e+00	3.059699e+00	9.623511e-01	6.282494e-02	-1.939933e+01	1.000849e+00	8.348801e+00	7.065997e-01	2.480857e-01	6.923095e+01	2.132115e+00	7.952059e-01	2.933247e-01	
14  1241.7	2.271673e+00	1.170658e-01	1.042277e+00	3.066949e+00	9.648217e-01	7.093334e-02	-1.939933e+01	1.000849e+00	9.167221e+00	7.039784e-01	2.479866e-01	6.888411e+01	2.147628e+00	8.034012e-01	2.959453e-01	
124  1232.08	2.271673e+00	1.170658e-01	1.042277e+00	3.066949e+00	9.648217e-01	7.093334e-02	-1.939933e+01	9.974284e-01	9.167221e+00	7.039784e-01	2.479866e-01	6.888411e+01	2.147628e+00	8.034012e-01	2.959453e-01	
63  1231.03	2.281173e+00	1.169123e-01	1.042173e+00	3.068871e+00	9.693641e-01	7.182918e-02	-1.939933e+01	9.974284e-01	9.221970e+00	7.050118e-01	2.480265e-01	6.899030e+01	2.151760e+00	8.031298e-01	2.949121e-01	
8  1230.79	2.281173e+00	1.169123e-01	1.042173e+00	3.068871e+00	9.693641e-01	7.182918e-02	-1.939933e+01	9.983673e-01	9.221970e+00	7.050118e-01	2.480265e-01	6.899030e+01	2.151760e+00	8.031298e-01	2.949121e-01	
21  1230.09	2.281173e+00	1.169123e-01	1.042173e+00	3.068871e+00	9.693641e-01	7.182918e-02	-1.939604e+01	9.983673e-01	9.221970e+00	7.050118e-01	2.480265e-01	6.899030e+01	2.151760e+00	8.031298e-01	2.949121e-01	
28  1231.36	2.281173e+00	1.169123e-01	1.042173e+00	3.068871e+00	9.693641e-01	7.182918e-02	-1.940083e+01	9.983673e-01	9.221970e+00	7.050118e-01	2.480265e-01	6.899030e+01	2.151760e+00	8.031298e-01	2.949121e-01	
97  1229.87	2.280737e+00	1.173581e-01	1.042142e+00	3.072104e+00	9.685103e-01	7.286804e-02	-1.940083e+01	9.983673e-01	9.327255e+00	7.025669e-01	2.480246e-01	6.881409e+01	2.158728e+00	8.090738e-01	2.973566e-01	
19  1230.91	2.271088e+00	1.173308e-01	1.042252e+00	3.072909e+00	9.649367e-01	7.202835e-02	-1.940083e+01	9.983673e-01	9.275314e+00	7.024833e-01	2.479841e-01	6.877418e+01	2.160465e+00	8.088097e-01	2.974402e-01	
184  1229.56	2.281280e+00	1.177958e-01	1.042480e+00	3.060125e+00	9.723776e-01	6.685747e-02	-1.940083e+01	9.983673e-01	8.778366e+00	7.012870e-01	2.480269e-01	6.877444e+01	2.133022e+00	8.089825e-01	2.986364e-01	
34  1229.26	2.281280e+00	1.177958e-01	1.042480e+00	3.060125e+00	9.723776e-01	6.685747e-02	-1.940083e+01	9.977857e-01	8.778366e+00	7.012870e-01	2.480269e-01	6.877444e+01	2.133022e+00	8.089825e-01	2.986364e-01	
38  1229.69	2.281280e+00	1.177958e-01	1.042480e+00	3.060125e+00	9.723776e-01	6.685747e-02	-1.940083e+01	9.984775e-01	8.778366e+00	7.012870e-01	2.480269e-01	6.877444e+01	2.133022e+00	8.089825e-01	2.986364e-01	
